,logFC,AveExpr,t,P.Value,adj.P.Val,B
LINC01123,7.629657315983096,-0.9943856583510707,59.950736450772574,1.0224711340193368e-287,2.673845369085622e-286,648.7432709773484
TMEM30B,6.172495294922413,1.9014158841462234,59.91864591556181,1.4240311975220724e-287,3.703828170095585e-286,648.7222367411641
SPRY4,5.798675393406922,1.038145598108346,59.87124630992039,2.323347363544617e-287,6.01850157552399e-286,648.1666627680469
EHF,8.736348857842149,0.5555216909307008,59.85938794334644,2.626140946363264e-287,6.793727794980342e-286,647.9925329676946
PTPN21,5.198038599322213,0.5881565749552289,59.72244965153977,1.0819514843853593e-286,2.7840000294070868e-285,646.583271093401
FAM213A,4.857530059243318,3.8648573415751093,59.703967066531135,1.309996759976285e-286,3.366289404441062e-285,646.4744073542656
MFAP2,8.41896611814653,0.7806798185431669,59.69815916579879,1.3911531175137358e-286,3.570069873704916e-285,646.3535249711992
SOWAHB,8.045072906818806,-1.4031176662606035,59.68233471256669,1.6387374107673528e-286,4.199837409459286e-285,645.9215807208062
MYO5B,6.326128237751973,1.855077925639112,59.621156513494746,3.0876992398941846e-286,7.850587486161609e-285,645.6464864643792
RP11-10G12.1,4.0671677964464665,-4.238333812423071,59.56093190130395,5.763050043210962e-286,1.455661734667735e-284,644.1438988271395
TMC7,7.644708920933157,-0.7477980015577501,59.50679772216535,1.0102173887252406e-285,2.5449809006275794e-284,644.1958828972779
CHMP4C,7.076208529781811,0.44101476685289526,59.41674701278538,2.5717420797558026e-285,6.453496715653186e-284,643.4048147496605
FANCL,3.3760667070829506,2.156061261662354,59.32168855410509,6.903067569786164e-285,1.725497941762004e-283,642.5542474464388
GPR39,7.918858525797307,-1.8959217399268737,59.31699117080533,7.248429260999486e-285,1.8071310620007397e-283,642.0720754974376
CH17-360D5.2,8.56159528886962,-1.3450496935049145,59.24578086463784,1.519803792662844e-284,3.769544278013113e-283,641.415241032238
PCDHB10,6.337600907749595,-2.144061799003756,59.237605158417374,1.654703723930758e-284,4.0988523261898715e-283,641.2105620175082
RHOV,8.297001981849235,0.9700047405321084,59.23376518024505,1.722138212315154e-284,4.2604105620089675e-283,641.5627936392111
FAM98A,2.2609290237993434,3.688904569355742,59.19855532598116,2.48409732286267e-284,6.129669381171513e-283,641.2381803911103
SOWAHC,5.095205767866163,2.186365543989753,59.00287452653898,1.9076540834524272e-283,4.6713254636398044e-282,639.2385488098914
HAGLROS,6.131352128911556,-3.1617909905186714,58.85248391814839,9.166718565384517e-283,2.2248654757623683e-281,637.0359865689878
ITGA3,5.896151951279202,4.71671272018569,58.82246535856448,1.2543578948478647e-282,3.036808352470044e-281,637.2758340924267
LINC00511,7.558691848129843,0.2818080473705923,58.82035483015917,1.282329291106659e-282,3.096736746038879e-281,637.1884368704159
EGFR,6.869604075756089,2.6468881431444804,58.755902329835976,2.5154033729295504e-282,6.044190851282779e-281,636.6630318547956
FAM127C,4.2978623986968065,1.492767162651907,58.73420090589061,3.1562875958962317e-282,7.565263680973197e-281,636.4029250918409
