,logFC,AveExpr,t,P.Value,adj.P.Val,B
KRT18,6.648096700270461,5.305768927069435,79.50064080393724,0.0,0.0,911.1402873437561
C5orf49,7.1947438242995485,-1.3148682262795959,79.45310670885976,0.0,0.0,910.016695104274
DDR1,4.706918062466875,4.7418152737419055,79.44676838179309,0.0,0.0,910.6243691853537
ZNF462,6.640385898628399,1.5348661347871002,79.42339471794679,0.0,0.0,910.2537460925381
RP11-40C6.2,6.392602147383976,-2.103593783190354,79.39503405596496,0.0,0.0,909.3146426418128
LIFR,6.478712379552744,3.0435557883777014,79.39189906009483,0.0,0.0,910.103474029728
CLDN4,7.3603311021405915,2.56573323765451,79.35804630718006,0.0,0.0,909.7506447351251
GAL3ST1,9.715338390930075,2.138245167940224,79.2412597561979,0.0,0.0,908.5831202100453
UGT2B7,11.129519621887017,1.9069204615301518,79.1898465424692,0.0,0.0,908.0581580087804
PTPRF,5.744396076897075,4.791624645370037,79.18881667435703,0.0,0.0,908.134418158799
CA12,8.194415658744491,5.235269765855874,79.11252733348701,0.0,0.0,907.3943073004784
TRABD2B,9.19478955984643,1.5510701146165817,79.09518816935685,0.0,0.0,907.0922503508701
PLEKHA5,5.224717398848017,3.0115713690121773,79.06144482446408,0.0,0.0,906.9121598771036
TOM1L1,6.958005257073838,2.0557649838385865,79.0610113765548,0.0,0.0,906.8330897772984
SNX33,3.3834568879988525,4.656945256842557,78.97862360325264,0.0,0.0,906.1027624836724
GAREM,7.789859803907115,1.7802835862889506,78.74712501557688,0.0,0.0,903.7597151135625
MPDZ,5.922466409765209,2.0117629606971756,78.70772486414633,0.0,0.0,903.4082225960561
COL15A1,6.763311230981188,3.272685380199154,78.70724728044789,0.0,0.0,903.4874105768107
LRP11,4.745456434631787,2.333322885051545,78.65116723840123,0.0,0.0,902.8944712105467
TMTC3,4.0308455347682655,3.1952931179321244,78.64680680884092,0.0,0.0,902.8995891471069
BHLHE41,6.219339805869343,3.7217694872983573,78.61524335377638,0.0,0.0,902.5936442180388
RP11-262A16.1,4.338744809634555,-3.863707479529834,78.59014775423482,0.0,0.0,901.2005758277462
ARHGEF10,4.33943026083866,3.217509656616371,78.50575069003233,0.0,0.0,901.5295470812291
NLGN1,8.925978280045443,0.4392553361143234,78.4430620607276,0.0,0.0,900.579892235181
FJX1,7.37061647665719,-0.00868865910837835,78.42155540429978,0.0,0.0,900.2866541683924
SPATS2L,4.480962427071574,4.857536116155673,78.40777545156085,0.0,0.0,900.5584170224319
PXDN,6.598170850405256,3.4734321935129127,78.3962191744936,0.0,0.0,900.4657229316791
LINC00998,3.473865980752201,3.406539308650778,78.34566856443024,0.0,0.0,899.9735704990508
HSPG2,6.352990994788258,6.087432191020253,78.33843521976546,0.0,0.0,899.8821990879815
MMRN2,6.825396397258446,3.2182691879908414,78.31020906581585,0.0,0.0,899.6267083121627
MAGI1,6.452547396517549,1.7366215640556928,78.30717419549696,0.0,0.0,899.4815116772133
DZIP1,7.231287865910529,1.5696233374756914,78.27960870925463,0.0,0.0,899.1889917109385
CC2D2A,4.718972807655689,2.0605821135586484,78.08480651513094,0.0,0.0,897.3562397392961
HOXD4,6.822813165534843,-1.7510846407984824,78.08427199267834,0.0,0.0,896.7111709335188
CA9,11.884596518235707,2.1046283961004453,78.05299328636838,0.0,0.0,897.0507869448471
IGFBP4,6.055320016626988,6.678925923150693,78.05289351458913,0.0,0.0,897.0993036390558
LRP5,5.071038270153529,3.4947610031002325,77.75888936868694,0.0,0.0,894.2431224568993
KRT8,7.442657377335567,5.042320323880333,77.68092504642684,0.0,0.0,893.4559282508566
HEYL,7.270584965553755,2.2772815834225684,77.4933344757531,0.0,0.0,891.5920806216479
ADGRA3,4.954347596254668,2.2566666091802636,77.4294195559754,0.0,0.0,890.9628938184437
SERTAD4,7.542201622530609,-0.5017127403443061,77.39366685468694,0.0,0.0,890.1745385507483
RND3,6.6885140716138505,1.884023328462361,77.34129264163953,0.0,0.0,890.0574466189925
PCDHB12,6.645877242282775,-1.5941755115967802,77.25250348118935,0.0,0.0,888.6139708965279
KIAA1549,6.781704481031968,1.037725633400221,77.20742350287847,0.0,0.0,888.617067662218
NTN4,7.318827573963631,2.8700401132292246,77.20258199471482,0.0,0.0,888.7724334758246
PIEZO2,8.376992819370106,0.5902370600638123,77.15275705822839,0.0,0.0,888.0021702591791
TSC22D1,3.4990936986851615,6.426460135791768,77.1379729995467,0.0,0.0,888.1209417204493
DLL4,7.188325798827028,2.569348600029823,77.13421701125996,0.0,0.0,888.0844628022475
BARX2,9.128211184127114,0.7476020183639991,77.129681363547,0.0,0.0,887.8029750035963
EPAS1,5.2560020526189355,6.653959432509505,77.12653197662748,0.0,0.0,888.0093174984077
EHHADH,6.585016380303894,3.4166501862869723,77.10954620935317,0.0,0.0,887.8642817090445
TMEM150C,7.229943026354023,1.350273828508854,77.09821955020439,0.0,0.0,887.5932591863037
SULT1C2,9.070348729870513,0.8871986382787449,77.09276219822833,0.0,0.0,887.4639564584002
CSPG4,6.96716910621308,3.5141500685773583,77.0902900386211,0.0,0.0,887.673840397763
ITGA2,6.329591250104748,1.982403991670583,77.0536621255507,0.0,0.0,887.23944012215
